Popularity,Unique_ID,Name,Genre,Country,Song_Name,Timestamp,Views,Comments,Likes,Followers
47.0,280,280,280,280,280,280,280,280,280,280
48.0,263,263,263,263,263,263,263,263,263,263
49.0,229,229,229,229,229,229,229,229,229,229
50.0,225,225,225,225,225,225,225,225,225,225
51.0,241,241,241,241,241,241,241,241,241,241
52.0,235,235,235,235,235,235,235,235,235,235
53.0,249,249,249,249,249,249,249,249,249,249
54.0,223,223,223,223,223,223,223,223,223,223
55.0,215,215,215,215,215,215,215,215,215,215
56.0,245,245,245,245,245,245,245,245,245,245
57.0,207,207,207,207,207,207,207,207,207,207
58.0,222,222,222,222,222,222,222,222,222,222
59.0,236,236,236,236,236,236,236,236,236,236
60.0,217,217,217,217,217,217,217,217,217,217
61.0,232,232,232,232,232,232,232,232,232,232
62.0,217,217,217,217,217,217,217,217,217,217
63.0,212,212,212,212,212,212,212,212,212,212
64.0,218,218,218,218,218,218,218,218,218,218
65.0,230,230,230,230,230,230,230,230,230,230
66.0,207,207,207,207,207,207,207,207,207,207
67.0,191,191,191,191,191,191,191,191,191,191
68.0,172,172,172,172,172,172,172,172,172,172
69.0,187,187,187,187,187,187,187,187,187,187
70.0,177,177,177,177,177,177,177,177,177,177
71.0,203,203,203,203,203,203,203,203,203,203
72.0,183,183,183,183,183,183,183,183,183,183
73.0,182,182,182,182,182,182,182,182,182,182
74.0,203,203,203,203,203,203,203,203,203,203
75.0,180,180,180,180,180,180,180,180,180,180
76.0,189,189,189,189,189,189,189,189,189,189
77.0,202,202,202,202,202,202,202,202,202,202
78.0,186,186,186,186,186,186,186,186,186,186
79.0,167,167,167,167,167,167,167,167,167,167
80.0,171,171,171,171,171,171,171,171,171,171
81.0,164,164,164,164,164,164,164,164,164,164
82.0,199,199,199,199,199,199,199,199,199,199
83.0,167,167,167,167,167,167,167,167,167,167
84.0,164,164,164,164,164,164,164,164,164,164
85.0,162,162,162,162,162,162,162,162,162,162
86.0,157,157,157,157,157,157,157,157,157,157
87.0,149,149,149,149,149,149,149,149,149,149
88.0,171,171,171,171,171,171,171,171,171,171
89.0,167,167,167,167,167,167,167,167,167,167
90.0,160,160,160,160,160,160,160,160,160,160
91.0,154,154,154,154,154,154,154,154,154,154
92.0,159,159,159,159,159,159,159,159,159,159
93.0,145,145,145,145,145,145,145,145,145,145
94.0,181,181,181,181,181,181,181,181,181,181
95.0,146,146,146,146,146,146,146,146,146,146
96.0,134,134,134,134,134,134,134,134,134,134
97.0,145,145,145,145,145,145,145,145,145,145
98.0,150,150,150,150,150,150,150,150,150,150
99.0,150,150,150,150,150,150,150,150,150,150
100.0,127,127,127,127,127,127,127,127,127,127
101.0,125,125,125,125,125,125,125,125,125,125
102.0,146,146,146,146,146,146,146,146,146,146
103.0,130,130,130,130,130,130,130,130,130,130
104.0,124,124,124,124,124,124,124,124,124,124
105.0,129,129,129,129,129,129,129,129,129,129
106.0,108,108,108,108,108,108,108,108,108,108
107.0,138,138,138,138,138,138,138,138,138,138
108.0,121,121,121,121,121,121,121,121,121,121
109.0,126,126,126,126,126,126,126,126,126,126
110.0,135,135,135,135,135,135,135,135,135,135
111.0,130,130,130,130,130,130,130,130,130,130
112.0,135,135,135,135,135,135,135,135,135,135
113.0,112,112,112,112,112,112,112,112,112,112
114.0,120,120,120,120,120,120,120,120,120,120
115.0,130,130,130,130,130,130,130,130,130,130
116.0,120,120,120,120,120,120,120,120,120,120
117.0,129,129,129,129,129,129,129,129,129,129
118.0,109,109,109,109,109,109,109,109,109,109
119.0,88,88,88,88,88,88,88,88,88,88
120.0,93,93,93,93,93,93,93,93,93,93
121.0,120,120,120,120,120,120,120,120,120,120
122.0,141,141,141,141,141,141,141,141,141,141
123.0,112,112,112,112,112,112,112,112,112,112
124.0,100,100,100,100,100,100,100,100,100,100
125.0,109,109,109,109,109,109,109,109,109,109
126.0,102,102,102,102,102,102,102,102,102,102
127.0,115,115,115,115,115,115,115,115,115,115
128.0,116,116,116,116,116,116,116,116,116,116
129.0,112,112,112,112,112,112,112,112,112,112
130.0,116,116,116,116,116,116,116,116,116,116
131.0,116,116,116,116,116,116,116,116,116,116
132.0,102,102,102,102,102,102,102,102,102,102
133.0,97,97,97,97,97,97,97,97,97,97
134.0,102,102,102,102,102,102,102,102,102,102
135.0,96,96,96,96,96,96,96,96,96,96
136.0,99,99,99,99,99,99,99,99,99,99
137.0,101,101,101,101,101,101,101,101,101,101
138.0,95,95,95,95,95,95,95,95,95,95
139.0,91,91,91,91,91,91,91,91,91,91
140.0,89,89,89,89,89,89,89,89,89,89
141.0,95,95,95,95,95,95,95,95,95,95
142.0,79,79,79,79,79,79,79,79,79,79
143.0,72,72,72,72,72,72,72,72,72,72
144.0,78,78,78,78,78,78,78,78,78,78
145.0,105,105,105,105,105,105,105,105,105,105
146.0,115,115,115,115,115,115,115,115,115,115
147.0,82,82,82,82,82,82,82,82,82,82
148.0,91,91,91,91,91,91,91,91,91,91
149.0,94,94,94,94,94,94,94,94,94,94
150.0,81,81,81,81,81,81,81,81,81,81
151.0,79,79,79,79,79,79,79,79,79,79
152.0,81,81,81,81,81,81,81,81,81,81
153.0,80,80,80,80,80,80,80,80,80,80
154.0,90,90,90,90,90,90,90,90,90,90
155.0,70,70,70,70,70,70,70,70,70,70
156.0,74,74,74,74,74,74,74,74,74,74
157.0,78,78,78,78,78,78,78,78,78,78
158.0,75,75,75,75,75,75,75,75,75,75
159.0,93,93,93,93,93,93,93,93,93,93
160.0,76,76,76,76,76,76,76,76,76,76
161.0,67,67,67,67,67,67,67,67,67,67
162.0,93,93,93,93,93,93,93,93,93,93
163.0,77,77,77,77,77,77,77,77,77,77
164.0,81,81,81,81,81,81,81,81,81,81
165.0,83,83,83,83,83,83,83,83,83,83
166.0,75,75,75,75,75,75,75,75,75,75
167.0,87,87,87,87,87,87,87,87,87,87
168.0,76,76,76,76,76,76,76,76,76,76
169.0,79,79,79,79,79,79,79,79,79,79
170.0,64,64,64,64,64,64,64,64,64,64
171.0,78,78,78,78,78,78,78,78,78,78
172.0,83,83,83,83,83,83,83,83,83,83
173.0,64,64,64,64,64,64,64,64,64,64
174.0,80,80,80,80,80,80,80,80,80,80
175.0,64,64,64,64,64,64,64,64,64,64
176.0,83,83,83,83,83,83,83,83,83,83
177.0,72,72,72,72,72,72,72,72,72,72
178.0,56,56,56,56,55,56,56,56,56,56
179.0,58,58,58,58,58,58,58,58,58,58
180.0,69,69,69,69,69,69,69,69,69,69
181.0,63,63,63,63,63,63,63,63,63,63
182.0,65,65,65,65,65,65,65,65,65,65
183.0,72,72,72,72,72,72,72,72,72,72
184.0,57,57,57,57,57,57,57,57,57,57
185.0,76,76,76,76,76,76,76,76,76,76
186.0,63,63,63,63,63,63,63,63,63,63
187.0,57,57,57,57,57,57,57,57,57,57
188.0,73,73,73,73,73,73,73,73,73,73
189.0,63,63,63,63,63,63,63,63,63,63
190.0,65,65,65,65,65,65,65,65,65,65
191.0,60,60,60,60,60,60,60,60,60,60
192.0,78,78,78,78,78,78,78,78,78,78
193.0,74,74,74,74,74,74,74,74,74,74
194.0,75,75,75,75,75,75,75,75,75,75
195.0,48,48,48,48,48,48,48,48,48,48
196.0,67,67,67,67,67,67,67,67,67,67
197.0,57,57,57,57,57,57,57,57,57,57
198.0,59,59,59,59,59,59,59,59,59,59
199.0,59,59,59,59,59,59,59,59,59,59
200.0,58,58,58,58,58,58,58,58,58,58
201.0,74,74,74,74,74,74,74,74,74,74
202.0,61,61,61,61,61,61,61,61,61,61
203.0,70,70,70,70,70,70,70,70,70,70
204.0,65,65,65,65,65,65,65,65,65,65
205.0,75,75,75,75,75,75,75,75,75,75
206.0,54,54,54,54,54,54,54,54,54,54
207.0,63,63,63,63,63,63,63,63,63,63
208.0,67,67,67,67,67,67,67,67,67,67
209.0,60,60,60,60,60,60,60,60,60,60
210.0,65,65,65,65,65,65,65,65,65,65
211.0,81,81,81,81,81,81,81,81,81,81
212.0,51,51,51,51,51,51,51,51,51,51
213.0,65,65,65,65,65,65,65,65,65,65
214.0,56,56,56,56,56,56,56,56,56,56
215.0,57,57,57,57,57,57,57,57,57,57
216.0,48,48,48,48,48,48,48,48,48,48
217.0,55,55,55,55,55,55,55,55,55,55
218.0,46,46,46,46,46,46,46,46,46,46
219.0,46,46,46,46,46,46,46,46,46,46
220.0,51,51,51,51,51,51,51,51,51,51
221.0,65,65,65,65,65,65,65,65,65,65
222.0,60,60,60,60,60,60,60,60,60,60
223.0,67,67,67,67,67,67,67,67,67,67
224.0,66,66,66,66,66,66,66,66,66,66
225.0,49,49,49,49,49,49,49,49,49,49
226.0,50,50,50,50,50,50,50,50,50,50
227.0,64,64,64,64,64,64,64,64,64,64
228.0,54,54,54,54,54,54,54,54,54,54
229.0,58,58,58,58,58,58,58,58,58,58
230.0,54,54,54,54,54,54,54,54,54,54
231.0,63,63,63,63,63,63,63,63,63,63
232.0,59,59,59,59,59,59,59,59,59,59
233.0,59,59,59,59,59,59,59,59,59,59
234.0,48,48,48,48,48,48,48,48,48,48
235.0,46,46,46,46,46,46,46,46,46,46
236.0,44,44,44,44,44,44,44,44,44,44
237.0,47,47,47,47,47,47,47,47,47,47
238.0,59,59,59,59,59,59,59,59,59,59
239.0,53,53,53,53,53,53,53,53,53,53
240.0,57,57,57,57,57,57,57,57,57,57
241.0,54,54,54,54,54,54,54,54,54,54
242.0,48,48,48,48,48,48,48,48,48,48
243.0,44,44,44,44,44,44,44,44,44,44
244.0,56,56,56,56,56,56,56,56,56,56
245.0,52,52,52,52,52,52,52,52,52,52
246.0,47,47,47,47,47,47,47,47,47,47
247.0,47,47,47,47,47,47,47,47,47,47
248.0,65,65,65,65,65,65,65,65,65,65
249.0,38,38,38,38,38,38,38,38,38,38
250.0,46,46,46,46,46,46,46,46,46,46
251.0,53,53,53,53,53,53,53,53,53,53
252.0,50,50,50,50,50,50,50,50,50,50
253.0,53,53,53,53,53,53,53,53,53,53
254.0,49,49,49,49,49,49,49,49,49,49
255.0,58,58,58,58,58,58,58,58,58,58
256.0,50,50,50,50,50,50,50,50,50,50
257.0,49,49,49,49,49,49,49,49,49,49
258.0,47,47,47,47,47,47,47,47,47,47
259.0,41,41,41,41,41,41,41,41,41,41
260.0,46,46,46,46,46,46,46,46,46,46
261.0,39,39,39,39,39,39,39,39,39,39
262.0,43,43,43,43,43,43,43,43,43,43
263.0,50,50,50,50,50,50,50,50,50,50
264.0,44,44,44,44,44,44,44,44,44,44
265.0,48,48,48,48,48,48,48,48,48,48
266.0,39,39,39,39,39,39,39,39,39,39
267.0,38,38,38,38,38,38,38,38,38,38
268.0,50,50,50,50,50,50,50,50,50,50
269.0,65,65,65,65,65,65,65,65,65,65
270.0,47,47,47,47,47,47,47,47,47,47
271.0,46,46,46,46,46,46,46,46,46,46
272.0,42,42,42,42,42,42,42,42,42,42
273.0,42,42,42,42,42,42,42,42,42,42
274.0,34,34,34,34,34,34,34,34,34,34
275.0,43,43,43,43,43,43,43,43,43,43
276.0,42,42,42,42,42,42,42,42,42,42
277.0,53,53,53,53,53,53,53,53,53,53
278.0,37,37,37,37,37,37,37,37,37,37
279.0,41,41,41,41,41,41,41,41,41,41
280.0,56,56,56,56,56,56,56,56,56,56
281.0,50,50,50,50,50,50,50,50,50,50
282.0,40,40,40,40,40,40,40,40,40,40
283.0,43,43,43,43,43,43,43,43,43,43
284.0,40,40,40,40,40,40,40,40,40,40
285.0,43,43,43,43,43,43,43,43,43,43
286.0,48,48,48,48,48,48,48,48,48,48
287.0,36,36,36,36,36,36,36,36,36,36
288.0,41,41,41,41,41,41,41,41,41,41
289.0,37,37,37,37,37,37,37,37,37,37
290.0,27,27,27,27,27,27,27,27,27,27
291.0,49,49,49,49,49,49,49,49,49,49
292.0,50,50,50,50,50,50,50,50,50,50
293.0,40,40,40,40,40,40,40,40,40,40
294.0,46,46,46,46,46,46,46,46,46,46
295.0,41,41,41,41,41,41,41,41,41,41
296.0,52,52,52,52,52,52,52,52,52,52
297.0,32,32,32,32,32,32,32,32,32,32
298.0,49,49,49,49,49,49,49,49,49,49
299.0,52,52,52,52,52,52,52,52,52,52
300.0,50,50,50,50,50,50,50,50,50,50
301.0,37,37,37,37,37,37,37,37,37,37
302.0,33,33,33,33,33,33,33,33,33,33
303.0,38,38,38,38,38,38,38,38,38,38
304.0,44,44,44,44,44,44,44,44,44,44
305.0,45,45,45,45,45,45,45,45,45,45
306.0,30,30,30,30,30,30,30,30,30,30
307.0,42,42,42,42,42,42,42,42,42,42
308.0,38,38,38,38,38,38,38,38,38,38
309.0,31,31,31,31,31,31,31,31,31,31
310.0,47,47,47,47,47,47,47,47,47,47
311.0,34,34,34,34,34,34,34,34,34,34
312.0,32,32,32,32,32,32,32,32,32,32
313.0,44,44,44,44,44,44,44,44,44,44
314.0,40,40,40,40,40,40,40,40,40,40
315.0,38,38,38,38,38,38,38,38,38,38
316.0,36,36,36,36,36,36,36,36,36,36
317.0,31,31,31,31,31,31,31,31,31,31
318.0,32,32,32,32,32,32,32,32,32,32
319.0,43,43,43,43,43,43,43,43,43,43
320.0,39,39,39,39,39,39,39,39,39,39
321.0,30,30,30,30,30,30,30,30,30,30
322.0,47,47,47,47,47,47,47,47,47,47
323.0,30,30,30,30,30,30,30,30,30,30
324.0,33,33,33,33,33,33,33,33,33,33
325.0,28,28,28,28,28,28,28,28,28,28
326.0,18,18,18,18,18,18,18,18,18,18
327.0,36,36,36,36,36,36,36,36,36,36
328.0,36,36,36,36,36,36,36,36,36,36
329.0,36,36,36,36,36,36,36,36,36,36
330.0,28,28,28,28,28,28,28,28,28,28
331.0,33,33,33,33,33,33,33,33,33,33
332.0,36,36,36,36,36,36,36,36,36,36
333.0,32,32,32,32,32,32,32,32,32,32
334.0,30,30,30,30,30,30,30,30,30,30
335.0,33,33,33,33,33,33,33,33,33,33
336.0,39,39,39,39,39,39,39,39,39,39
337.0,34,34,34,34,34,34,34,34,34,34
338.0,35,35,35,35,35,35,35,35,35,35
339.0,26,26,26,26,26,26,26,26,26,26
340.0,32,32,32,32,32,32,32,32,32,32
341.0,30,30,30,30,30,30,30,30,30,30
342.0,48,48,48,48,48,48,48,48,48,48
343.0,26,26,26,26,26,26,26,26,26,26
344.0,33,33,33,33,33,33,33,33,33,33
345.0,35,35,35,35,35,35,35,35,35,35
346.0,36,36,36,36,36,36,36,36,36,36
347.0,35,35,35,35,35,35,35,35,35,35
348.0,24,24,24,24,24,24,24,24,24,24
349.0,31,31,31,31,31,31,31,31,31,31
350.0,33,33,33,33,33,33,33,33,33,33
351.0,30,30,30,30,30,30,30,30,30,30
352.0,41,41,41,41,41,41,41,41,41,41
353.0,30,30,30,30,30,30,30,30,30,30
354.0,35,35,35,35,35,35,35,35,35,35
355.0,36,36,36,36,36,36,36,36,36,36
356.0,31,31,31,31,31,31,31,31,31,31
357.0,38,38,38,38,38,38,38,38,38,38
358.0,27,27,27,27,27,27,27,27,27,27
359.0,30,30,30,30,30,30,30,30,30,30
360.0,34,34,34,34,34,34,34,34,34,34
361.0,40,40,40,40,40,40,40,40,40,40
362.0,26,26,26,26,26,26,26,26,26,26
363.0,25,25,25,25,25,25,25,25,25,25
364.0,33,33,33,33,33,33,33,33,33,33
365.0,33,33,33,33,33,33,33,33,33,33
366.0,21,21,21,21,21,21,21,21,21,21
367.0,25,25,25,25,25,25,25,25,25,25
368.0,10,10,10,10,10,10,10,10,10,10
369.0,36,36,36,36,36,36,36,36,36,36
370.0,32,32,32,32,32,32,32,32,32,32
371.0,40,40,40,40,40,40,40,40,40,40
372.0,35,35,35,35,35,35,35,35,35,35
373.0,26,26,26,26,26,26,26,26,26,26
374.0,40,40,40,40,40,40,40,40,40,40
375.0,33,33,33,33,33,33,33,33,33,33
376.0,32,32,32,32,32,32,32,32,32,32
377.0,25,25,25,25,25,25,25,25,25,25
378.0,30,30,30,30,30,30,30,30,30,30
379.0,25,25,25,25,25,25,25,25,25,25
380.0,26,26,26,26,26,26,26,26,26,26
381.0,33,33,33,33,33,33,33,33,33,33
382.0,30,30,30,30,30,30,30,30,30,30
383.0,32,32,32,32,32,32,32,32,32,32
384.0,34,34,34,34,34,34,34,34,34,34
385.0,32,32,32,32,32,32,32,32,32,32
386.0,30,30,30,30,30,30,30,30,30,30
387.0,36,36,36,36,36,36,36,36,36,36
388.0,24,24,24,24,24,24,24,24,24,24
389.0,29,29,29,29,29,29,29,29,29,29
390.0,38,38,38,38,38,38,38,38,38,38
391.0,22,22,22,22,22,22,22,22,22,22
392.0,19,19,19,19,19,19,19,19,19,19
393.0,32,32,32,32,32,32,32,32,32,32
394.0,36,36,36,36,36,36,36,36,36,36
395.0,30,30,30,30,30,30,30,30,30,30
396.0,32,32,32,32,32,32,32,32,32,32
397.0,21,21,21,21,21,21,21,21,21,21
398.0,35,35,35,35,35,35,35,35,35,35
399.0,26,26,26,26,26,26,26,26,26,26
400.0,32,32,32,32,32,32,32,32,32,32
401.0,31,31,31,31,31,31,31,31,31,31
402.0,21,21,21,21,21,21,21,21,21,21
403.0,24,24,24,24,24,24,24,24,24,24
404.0,26,26,26,26,26,26,26,26,26,26
405.0,35,35,35,35,35,35,35,35,35,35
406.0,24,24,24,24,24,24,24,24,24,24
407.0,26,26,26,26,26,26,26,26,26,26
408.0,25,25,25,25,25,25,25,25,25,25
409.0,28,28,28,28,28,28,28,28,28,28
410.0,27,27,27,27,27,27,27,27,27,27
411.0,22,22,22,22,22,22,22,22,22,22
412.0,18,18,18,18,18,18,18,18,18,18
413.0,27,27,27,27,27,27,27,27,27,27
414.0,19,19,19,19,19,19,19,19,19,19
415.0,25,25,25,25,25,25,25,25,25,25
416.0,26,26,26,26,26,26,26,26,26,26
417.0,27,27,27,27,27,27,27,27,27,27
418.0,33,33,33,33,33,33,33,33,33,33
419.0,26,26,26,26,26,26,26,26,26,26
420.0,27,27,27,27,27,27,27,27,27,27
421.0,35,35,35,35,35,35,35,35,35,35
422.0,27,27,27,27,27,27,27,27,27,27
423.0,15,15,15,15,15,15,15,15,15,15
424.0,33,33,33,33,33,33,33,33,33,33
425.0,39,39,39,39,39,39,39,39,39,39
426.0,24,24,24,24,24,24,24,24,24,24
427.0,23,23,23,23,23,23,23,23,23,23
428.0,25,25,25,25,25,25,25,25,25,25
429.0,23,23,23,23,23,23,23,23,23,23
430.0,20,20,20,20,20,20,20,20,20,20
431.0,15,15,15,15,15,15,15,15,15,15
432.0,16,16,16,16,16,16,16,16,16,16
433.0,17,17,17,17,17,17,17,17,17,17
434.0,25,25,25,25,25,25,25,25,25,25
435.0,19,19,19,19,19,19,19,19,19,19
436.0,23,23,23,23,23,23,23,23,23,23
437.0,31,31,31,31,31,31,31,31,31,31
438.0,16,16,16,16,16,16,16,16,16,16
439.0,17,17,17,17,17,17,17,17,17,17
440.0,24,24,24,24,24,24,24,24,24,24
441.0,24,24,24,24,24,24,24,24,24,24
442.0,18,18,18,18,18,18,18,18,18,18
443.0,18,18,18,18,18,18,18,18,18,18
444.0,28,28,28,28,28,28,28,28,28,28
445.0,22,22,22,22,22,22,22,22,22,22
446.0,26,26,26,26,26,26,26,26,26,26
447.0,21,21,21,21,21,21,21,21,21,21
448.0,26,26,26,26,26,26,26,26,26,26
449.0,30,30,30,30,30,30,30,30,30,30
450.0,19,19,19,19,19,19,19,19,19,19
451.0,22,22,22,22,22,22,22,22,22,22
452.0,32,32,32,32,32,32,32,32,32,32
453.0,26,26,26,26,26,26,26,26,26,26
454.0,26,26,26,26,26,26,26,26,26,26
455.0,22,22,22,22,22,22,22,22,22,22
456.0,25,25,25,25,25,25,25,25,25,25
457.0,33,33,33,33,33,33,33,33,33,33
458.0,37,37,37,37,37,37,37,37,37,37
459.0,21,21,21,21,21,21,21,21,21,21
460.0,20,20,20,20,20,20,20,20,20,20
461.0,24,24,24,24,24,24,24,24,24,24
462.0,18,18,18,18,18,18,18,18,18,18
463.0,19,19,19,19,19,19,19,19,19,19
464.0,14,14,14,14,14,14,14,14,14,14
465.0,27,27,27,27,27,27,27,27,27,27
466.0,29,29,29,29,29,29,29,29,29,29
467.0,18,18,18,18,18,18,18,18,18,18
468.0,22,22,22,22,22,22,22,22,22,22
469.0,19,19,19,19,19,19,19,19,19,19
470.0,24,24,24,24,24,24,24,24,24,24
471.0,20,20,20,20,20,20,20,20,20,20
472.0,21,21,21,21,21,21,21,21,21,21
473.0,22,22,22,22,22,22,22,22,22,22
474.0,20,20,20,20,20,20,20,20,20,20
475.0,15,15,15,15,15,15,15,15,15,15
476.0,28,28,28,28,28,28,28,28,28,28
477.0,20,20,20,20,20,20,20,20,20,20
478.0,24,24,24,24,24,24,24,24,24,24
479.0,25,25,25,25,25,25,25,25,25,25
480.0,19,19,19,19,19,19,19,19,19,19
481.0,19,19,19,19,19,19,19,19,19,19
482.0,19,19,19,19,19,19,19,19,19,19
483.0,20,20,20,20,20,20,20,20,20,20
484.0,19,19,19,19,19,19,19,19,19,19
485.0,25,25,25,25,25,25,25,25,25,25
486.0,24,24,24,24,24,24,24,24,24,24
487.0,21,21,21,21,21,21,21,21,21,21
488.0,19,19,19,19,19,19,19,19,19,19
489.0,18,18,18,18,18,18,18,18,18,18
490.0,19,19,19,19,19,19,19,19,19,19
491.0,19,19,19,19,19,19,19,19,19,19
492.0,12,12,12,12,12,12,12,12,12,12
493.0,18,18,18,18,18,18,18,18,18,18
494.0,22,22,22,22,22,22,22,22,22,22
495.0,28,28,28,28,28,28,28,28,28,28
496.0,21,21,21,21,21,21,21,21,21,21
497.0,27,27,27,27,27,27,27,27,27,27
498.0,26,26,26,26,26,26,26,26,26,26
499.0,18,18,18,18,18,18,18,18,18,18
500.0,22,22,22,22,22,22,22,22,22,22
501.0,24,24,24,24,24,24,24,24,24,24
502.0,20,20,20,20,20,20,20,20,20,20
503.0,22,22,22,22,22,22,22,22,22,22
504.0,18,18,18,18,18,18,18,18,18,18
505.0,28,28,28,28,28,28,28,28,28,28
506.0,21,21,21,21,21,21,21,21,21,21
507.0,18,18,18,18,18,18,18,18,18,18
508.0,21,21,21,21,21,21,21,21,21,21
509.0,24,24,24,24,24,24,24,24,24,24
510.0,20,20,20,20,20,20,20,20,20,20
511.0,17,17,17,17,17,17,17,17,17,17
512.0,22,22,22,22,22,22,22,22,22,22
513.0,34,34,34,34,34,34,34,34,34,34
514.0,22,22,22,22,22,22,22,22,22,22
515.0,15,15,15,15,15,15,15,15,15,15
516.0,21,21,21,21,21,21,21,21,21,21
517.0,27,27,27,27,27,27,27,27,27,27
518.0,23,23,23,23,23,23,23,23,23,23
519.0,16,16,16,16,16,16,16,16,16,16
520.0,17,17,17,17,17,17,17,17,17,17
521.0,23,23,23,23,23,23,23,23,23,23
522.0,22,22,22,22,22,22,22,22,22,22
523.0,24,24,24,24,24,24,24,24,24,24
524.0,23,23,23,23,23,23,23,23,23,23
525.0,16,16,16,16,16,16,16,16,16,16
526.0,27,27,27,27,27,27,27,27,27,27
527.0,18,18,18,18,18,18,18,18,18,18
528.0,20,20,20,20,20,20,20,20,20,20
529.0,29,29,29,29,29,29,29,29,29,29
530.0,20,20,20,20,20,20,20,20,20,20
531.0,17,17,17,17,17,17,17,17,17,17
532.0,27,27,27,27,27,27,27,27,27,27
533.0,17,17,17,17,17,17,17,17,17,17
534.0,15,15,15,15,15,15,15,15,15,15
535.0,20,20,20,20,20,20,20,20,20,20
536.0,16,16,16,16,16,16,16,16,16,16
537.0,15,15,15,15,15,15,15,15,15,15
538.0,16,16,16,16,16,16,16,16,16,16
539.0,20,20,20,20,20,20,20,20,20,20
540.0,15,15,15,15,15,15,15,15,15,15
541.0,13,13,13,13,13,13,13,13,13,13
542.0,13,13,13,13,13,13,13,13,13,13
543.0,12,12,12,12,12,12,12,12,12,12
544.0,10,10,10,10,10,10,10,10,10,10
545.0,19,19,19,19,19,19,19,19,19,19
546.0,14,14,14,14,14,14,14,14,14,14
547.0,12,12,12,12,12,12,12,12,12,12
548.0,11,11,11,11,11,11,11,11,11,11
549.0,21,21,21,21,21,21,21,21,21,21
550.0,16,16,16,16,16,16,16,16,16,16
551.0,18,18,18,18,18,18,18,18,18,18
552.0,14,14,14,14,14,14,14,14,14,14
553.0,14,14,14,14,14,14,14,14,14,14
554.0,20,20,20,20,20,20,20,20,20,20
555.0,17,17,17,17,17,17,17,17,17,17
556.0,14,14,14,14,14,14,14,14,14,14
557.0,22,22,22,22,22,22,22,22,22,22
558.0,26,26,26,26,26,26,26,26,26,26
559.0,22,22,22,22,22,22,22,22,22,22
560.0,18,18,18,18,18,18,18,18,18,18
561.0,16,16,16,16,16,16,16,16,16,16
562.0,18,18,18,18,18,18,18,18,18,18
563.0,20,20,20,20,20,20,20,20,20,20
564.0,13,13,13,13,13,13,13,13,13,13
565.0,18,18,18,18,18,18,18,18,18,18
566.0,15,15,15,15,15,15,15,15,15,15
567.0,12,12,12,12,12,12,12,12,12,12
568.0,10,10,10,10,10,10,10,10,10,10
569.0,13,13,13,13,13,13,13,13,13,13
570.0,21,21,21,21,21,21,21,21,21,21
571.0,15,15,15,15,15,15,15,15,15,15
572.0,16,16,16,16,16,16,16,16,16,16
573.0,15,15,15,15,15,15,15,15,15,15
574.0,23,23,23,23,23,23,23,23,23,23
575.0,15,15,15,15,15,15,15,15,15,15
576.0,14,14,14,14,14,14,14,14,14,14
